"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 02 09:28:17 UTC 2026","Tue Jun 02 09:28:18 UTC 2026","797","","ui.tests.inventoryPage.InventoryPagesTest","","ui.tests.inventoryPage.InventoryPagesTest","sortByPrice","sortByPrice(String, Comparator) [2] hilo, java.util.Collections$ReverseComparator@42cd0fc6",""
"passed","Tue Jun 02 09:28:09 UTC 2026","Tue Jun 02 09:28:10 UTC 2026","856","","ui.tests.inventoryPage.InventoryPagesTest","","ui.tests.inventoryPage.InventoryPagesTest","sortByName","sortByName(String, Comparator) [1] az, INSTANCE",""
"passed","Tue Jun 02 09:28:15 UTC 2026","Tue Jun 02 09:28:16 UTC 2026","1015","","ui.tests.inventoryPage.InventoryPagesTest","","ui.tests.inventoryPage.InventoryPagesTest","testAddItemsToCartAndVerifyDisplay","testAddItemsToCartAndVerifyDisplay()",""
"passed","Tue Jun 02 09:28:06 UTC 2026","Tue Jun 02 09:28:07 UTC 2026","826","","ui.tests.cartPage.CartSingleItemTests","","ui.tests.cartPage.CartSingleItemTests","deleteCartItem","deleteCartItem()",""
"passed","Tue Jun 02 09:28:05 UTC 2026","Tue Jun 02 09:28:06 UTC 2026","855","","ui.tests.cartPage.CartSingleItemTests","","ui.tests.cartPage.CartSingleItemTests","continueShoppingNavigatesToInventory","continueShoppingNavigatesToInventory()",""
"passed","Tue Jun 02 09:27:45 UTC 2026","Tue Jun 02 09:28:03 UTC 2026","18647","","ui.tests.mainPage.MainPagesTests","","ui.tests.mainPage.MainPagesTests","testCorrectLogin","testCorrectLogin()",""
"passed","Tue Jun 02 09:28:08 UTC 2026","Tue Jun 02 09:28:09 UTC 2026","892","","ui.tests.cartPage.CartSingleItemTests","","ui.tests.cartPage.CartSingleItemTests","cartBadgeDisappearsAfterRemovingLastItem","cartBadgeDisappearsAfterRemovingLastItem()",""
"passed","Tue Jun 02 09:28:18 UTC 2026","Tue Jun 02 09:28:18 UTC 2026","1","","api.tests.imagesSearch.get.ImagesSearchTests","","api.tests.imagesSearch.get.ImagesSearchTests","searchImages","GET /images/search — поиск по базовому набору изображений",""
"passed","Tue Jun 02 09:28:17 UTC 2026","Tue Jun 02 09:28:17 UTC 2026","789","","ui.tests.inventoryPage.InventoryPagesTest","","ui.tests.inventoryPage.InventoryPagesTest","sortByPrice","sortByPrice(String, Comparator) [1] lohi, INSTANCE",""
"passed","Tue Jun 02 09:28:16 UTC 2026","Tue Jun 02 09:28:17 UTC 2026","1033","","ui.tests.inventoryPage.InventoryPagesTest","","ui.tests.inventoryPage.InventoryPagesTest","assertDefaultSort","assertDefaultSort()",""
"passed","Tue Jun 02 09:28:11 UTC 2026","Tue Jun 02 09:28:12 UTC 2026","846","","ui.tests.inventoryPage.InventoryPagesTest","","ui.tests.inventoryPage.InventoryPagesTest","cartBadgeIncrementsOnAddItem","cartBadgeIncrementsOnAddItem(int) [1] 1",""
"passed","Tue Jun 02 09:28:12 UTC 2026","Tue Jun 02 09:28:13 UTC 2026","1001","","ui.tests.inventoryPage.InventoryPagesTest","","ui.tests.inventoryPage.InventoryPagesTest","cartBadgeIncrementsOnAddItem","cartBadgeIncrementsOnAddItem(int) [2] 3",""
"passed","Tue Jun 02 09:28:03 UTC 2026","Tue Jun 02 09:28:04 UTC 2026","1149","","ui.tests.mainPage.MainPagesTests","","ui.tests.mainPage.MainPagesTests","testIncorrectLogin","testIncorrectLogin()",""
"passed","Tue Jun 02 09:28:11 UTC 2026","Tue Jun 02 09:28:11 UTC 2026","867","","ui.tests.inventoryPage.InventoryPagesTest","","ui.tests.inventoryPage.InventoryPagesTest","cartBadgeAppearsOnAddItem","cartBadgeAppearsOnAddItem()",""
"passed","Tue Jun 02 09:28:10 UTC 2026","Tue Jun 02 09:28:11 UTC 2026","855","","ui.tests.inventoryPage.InventoryPagesTest","","ui.tests.inventoryPage.InventoryPagesTest","sortByName","sortByName(String, Comparator) [2] za, java.util.Collections$ReverseComparator@42cd0fc6",""
"passed","Tue Jun 02 09:28:04 UTC 2026","Tue Jun 02 09:28:05 UTC 2026","999","","ui.tests.cartPage.CartMultipleItemsTests","","ui.tests.cartPage.CartMultipleItemsTests","removeOneItemFromMultiple","removeOneItemFromMultiple()",""
"passed","Tue Jun 02 09:28:07 UTC 2026","Tue Jun 02 09:28:08 UTC 2026","843","","ui.tests.cartPage.CartSingleItemTests","","ui.tests.cartPage.CartSingleItemTests","checkoutNavigatesToCheckoutPage","checkoutNavigatesToCheckoutPage()",""
"passed","Tue Jun 02 09:28:13 UTC 2026","Tue Jun 02 09:28:15 UTC 2026","1181","","ui.tests.inventoryPage.InventoryPagesTest","","ui.tests.inventoryPage.InventoryPagesTest","cartBadgeIncrementsOnAddItem","cartBadgeIncrementsOnAddItem(int) [3] 6",""
